&lt;	<	小于号
&lambda;	λ	希腊文小写字母 Lamda
&mu;	μ	希腊文小写字母 Mu
&nu;	ν	希腊文小写字母 Nu
&xi;	ξ	希腊文小写字母 Xi
&omicron;	ο	希腊文小写字母 Omicron
&pi;	π	希腊文小写字母 Pi
&rho;	ρ	希腊文小写字母 Rho
&sigmaf;	ς	希腊文小写字母词尾 Sigma
&sigma;	σ	希腊文小写字母 Sigma
&tau;	τ	希腊文小写字母 Tau
&upsilon;	υ	希腊文小写字母 Upsilon
&phi;	φ	希腊文小写字母 Phi
&chi;	χ	希腊文小写字母 Chi
&psi;	ψ	希腊文小写字母 Psi
&omega;	ω	希腊文小写字母 Omega
&thetasym;	ϑ	希腊文 Theta 符号
&upsih;	ϒ	带钩形符号的希腊文 Upsilon
&piv;	ϖ	希腊文 Pi 符号
&ensp;	 	En 间隔
&emsp;	 	Em 间隔
&thinsp;	 	窄间隔
&zwnj;		零宽无连接符
&zwj;		零宽连接符
&lrm;	‎	从左至右标志
&rlm;	‏	从右至左标志
&ndash;	–	En 长划
&mdash;	—	Em 长划
&lsquo;	‘	左单引号
&rsquo;	’	右单引号
&sbquo;	‚	单下 9 形引号
&ldquo;	“	左双引号
&rdquo;	”	右双引号
&bdquo;	„	双下 9 形引号
&dagger;	†	剑号
&Dagger;	‡	双剑号
&bull;	•	加重号
&hellip;	…	水平省略号
&permil;	‰	千分号
&prime;	′	上标符
&Prime;	″	双上标符
&lsaquo;	‹	单左指尖引号
&rsaquo;	›	单右指尖引号
&oline;	‾	上横线
&frasl;	⁄	分数斜线号
&euro;	€	欧元符号
&image;	ℑ	黑花体字大写 I
&weierp;	℘	手写体大写 P
&real;	ℜ	黑花体字大写 R
&trade;	™	商标标记
&alefsym;	ℵ	Alef 符号
&larr;	←	向左箭头
&uarr;	↑	向上箭头
&rarr;	→	向右箭头
&darr;	↓	向下箭头
&harr;	↔	左右箭头
&crarr;	↵	角朝左的向下箭头
&lArr;	⇐	向左双箭头
&uArr;	⇑	向上双箭头
&rArr;	⇒	向右双箭头
&dArr;	⇓	向下双箭头
&hArr;	⇔	左右双箭头
&forall;	∀	对于全部
&part;	∂	偏微分
&exist;	∃	存在
&empty;	∅	空集
&nabla;	∇	劈形算符
&isin;	∈	元素
&notin;	∉	不是元素
&ni;	∋	包含
&prod;	∏	N 元乘积
&sum;	∑	N 元求和
&minus;	−	负号
&lowast;	∗	星号运算符
&radic;	√	平方根
&prop;	∝	比例
&infin;	∞	无穷大
&ang;	∠	角
&and;	∧	逻辑与
&or;	∨	逻辑或
&cap;	∩	交集
&cup;	∪	并集
&int;	∫	积分
&there4;	∴	所以
&sim;	∼	颚化符运算符
&cong;	≅	近似等于
&asymp;	≈	约等于
&ne;	≠	不等于
&equiv;	≡	恒等于
&le;	≤	小于或等于
&ge;	≥	大于或等于
&sub;	⊂	子集
&sup;	⊃	超集
&nsub;	⊄	非子集
&sube;	⊆	子集或等于
&supe;	⊇	超集或等于
&oplus;	⊕	带圆圈正号
&otimes;	⊗	带圆圈乘号
&perp;	⊥	上丁字
&sdot;	⋅	点运算符
&lceil;	⌈	左顶棚
&rceil;	⌉	右顶棚
&lfloor;	⌊	左地板
&rfloor;	⌋	右地板
&lang;	〈	左指尖括号
&rang;	〉	右指尖括号
&loz;	◊	菱形
&spades;	♠	实心黑桃纸牌
&clubs;	♣	实心梅花纸牌
&hearts;	♥	实心红桃纸牌
&diams;	♦	实心方块纸牌

&amp;	&	与号
